pseudo_id,account_active_days,subscription_cancel_date,koen,order_trackertag,permission_given_order,permission_given_today,previous_subscriptions,previous_campaigns,previous_trials,first_campaign_day,last_campaign_day,newsletters_before_order,newsletters_after_order,type,reason,expiration_date,churn,continued_subscription,early_churn,age,kundetid_gruppe
e1efb0bf97224357c9014734fbff2cc3,61,2025-03-28,Kvinde,utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk,1,1,0,0,0,2025-03-22,2025-05-21,0,0,Økonomi,Pris,2025-05-21,1,0,0,69.84931506849315,0-7 dage
a7d71891dcba30f635b04d7efb287a2e,377,3000-01-01,Mand,utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk,0,0,0,0,0,2025-03-16,2025-05-15,0,0,Ingen afmelding,Ingen afmelding,3000-01-01,0,1,0,49.8986301369863,0-7 dage
b614f17cb152704959cdf42349d6a4cb,1346,2025-05-02,Mand,utm_campaign=Marts25&utm_content=b&utm_medium=mail&utm_source=mail,0,1,6,1,2,2025-03-05,2025-05-04,3,3,Andet,Ingen årsag – ingen tlf kontakt,2025-05-04,1,0,0,69.06301369863014,6+ måneder
5b6a7ea3f7caeadaadd87d90cc4e4780,151,2025-03-14,Mand,utm_campaign=Basis_22&utm_content=HeaderButtonRaised&utm_medium=Matrice&utm_source=jp.dk,0,0,1,1,0,2025-03-14,2025-05-13,0,0,Andet,kunden ønsker ikke at oplyse,2025-05-13,1,0,0,45.605479452054794,1-6 måneder
dcd9d5af27530c8a408dc9233552e69b,243,2025-07-16,Kvinde,utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk,0,1,1,0,1,2025-03-06,2025-05-05,0,0,Tid,Ikke tid,2025-08-05,0,1,0,78.88493150684931,6+ måneder
28c7f0fd6c244321b656ee0f6b4f5c25,690,3000-01-01,Mand,utm_campaign=Marts25&utm_content=sc_a&utm_medium=mail&utm_source=mail,1,1,3,1,2,2025-03-21,2025-05-20,3,3,Ingen afmelding,Ingen afmelding,3000-01-01,0,1,0,86.77260273972603,6+ måneder
addf8ac99c42c7e9e69884fdd2a6cf4a,545,2025-04-18,Kvinde,utm_campaign=Marts25&utm_content=B&utm_medium=content&utm_source=jp.dk,1,1,4,1,1,2025-03-19,2025-05-18,0,0,Tid,Ikke tid,2025-05-18,1,0,0,54.73972602739726,6+ måneder
1d9f3d5a9795504ed312e80249efa8c7,373,3000-01-01,Mand,utm_campaign=Marts25&utm_content=B&utm_medium=content&utm_source=jp.dk,0,1,0,0,0,2025-03-20,2025-05-19,0,0,Ingen afmelding,Ingen afmelding,3000-01-01,0,1,0,49.78356164383562,6+ måneder
83da59eb70f526294fc5903113df888f,284,2025-05-21,Mand,utm_campaign=Marts25&utm_content=a&utm_medium=mail&utm_source=mail,0,1,1,1,1,2025-03-17,2025-05-16,0,0,Andet,Ingen årsag – ingen tlf kontakt,2025-06-16,0,1,1,68.91506849315068,6+ måneder
232433aa3d7e847e0a462e9336be16d7,462,2025-05-17,Mand,utm_campaign=Marts25&utm_medium=topticker&utm_source=jp.dk,0,0,1,1,0,2025-03-22,2025-05-21,0,0,Andet,kunden ønsker ikke at oplyse,2025-05-21,1,0,0,72.11780821917809,6+ måneder
660fab39539b87b268e59b0d5cc6be74,80,2025-05-28,Kvinde,utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk,0,0,0,0,0,2025-03-10,2025-05-09,0,0,Produkt,Redaktionelt indhold / holdning,2025-06-09,0,1,1,25.279452054794522,6+ måneder
042313fde35eb5e19b2106bf175cd5e9,337,2026-01-22,Kvinde,utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk,1,1,0,0,0,2025-03-15,2025-05-14,0,0,Økonomi,Pris,2026-02-14,0,1,0,60.704109589041096,0-7 dage
ef8055f337f6e7440116a5bcd1297e6b,480,2025-05-22,Mand,utm_campaign=Marts25&utm_content=a&utm_medium=mail&utm_source=mail,0,1,13,7,7,2025-03-05,2025-05-04,2,2,Tid,Ikke tid,2025-06-04,0,1,1,69.83013698630137,6+ måneder
e209e48b572e7337edd6c072ebab6cc2,275,2025-12-11,,utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk,1,1,0,0,0,2025-03-23,2025-05-22,0,0,Andet,kunden ønsker ikke at oplyse,2025-12-22,0,1,0,58.14246575342466,6+ måneder
088f15f5143f6bdf5f317f30bcafe199,376,3000-01-01,Mand,utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk,0,0,0,0,0,2025-03-17,2025-05-16,0,0,Ingen afmelding,Ingen afmelding,3000-01-01,0,1,0,54.895890410958906,0-7 dage
8ca62176a2868f3a1c9d4b663d802fba,124,2025-03-06,Mand,utm_campaign=Biler&utm_content=2025-03-05&utm_medium=email&utm_source=jp,0,1,1,1,1,2025-03-05,2025-05-04,6,6,Økonomi,Pris,2025-05-04,1,0,0,71.20547945205479,6+ måneder
0181daedf475221291df382a21589255,275,2025-11-10,Mand,utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk,0,0,0,0,0,2025-03-10,2025-05-09,0,0,Økonomi,Pris,2025-12-09,0,1,0,29.17808219178082,0-7 dage
bbb361a9cc76e407add75eb772b1ee6e,61,2025-04-07,Mand,utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk,0,0,0,0,0,2025-03-07,2025-05-06,0,0,Produkt,Redaktionelt indhold / holdning,2025-05-06,1,0,0,34.84931506849315,6+ måneder
c7bdb7da31ed15bcc2b8dcee4686c508,95,2025-06-23,Mand,utm_campaign=Marts25&utm_content=sc_a&utm_medium=mail&utm_source=mail,0,1,0,0,0,2025-03-21,2025-05-20,0,0,Andet,Ingen årsag – ingen tlf kontakt,2025-06-23,0,1,1,51.23561643835617,0-7 dage
cea6e8cff201b5805f306ac32de5c6b3,811,3000-01-01,Mand,utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk,0,1,2,2,0,2025-03-09,2025-05-08,0,0,Ingen afmelding,Ingen afmelding,3000-01-01,0,1,0,52.58904109589041,6+ måneder
93625aee48370e1661dd32a64c270def,899,3000-01-01,Mand,utm_campaign=Marts25&utm_content=B&utm_medium=content&utm_source=jp.dk,0,1,5,2,3,2025-03-08,2025-05-07,3,3,Ingen afmelding,Ingen afmelding,3000-01-01,0,1,0,56.76438356164383,6+ måneder
94b676c80fe51500f9b72c7222d01021,306,2026-01-20,Mand,utm_campaign=Basis_22&utm_content=App_android&utm_medium=Matrice&utm_source=App,1,1,0,0,0,2025-03-23,2025-05-22,0,0,Økonomi,Pris,2026-01-22,0,1,0,59.14794520547945,0-7 dage
9c002c13eedc708f9732104b70028094,470,2025-04-29,Mand,utm_campaign=Marts25&utm_content=b&utm_medium=mail&utm_source=mail,1,1,6,3,2,2025-03-06,2025-05-05,0,0,Tid,Ikke tid,2025-05-05,1,0,0,74.96164383561644,6+ måneder
25567a00c727a5f238f2147e7806428f,159,2025-03-17,Kvinde,utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk,1,1,2,2,1,2025-03-09,2025-05-08,0,0,Produkt,Redaktionelt indhold / holdning,2025-05-08,1,0,0,55.95068493150685,6+ måneder
e4c5b02a0d4e20c09552d31e50c13fc4,61,2025-03-13,Kvinde,utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk,0,0,0,0,0,2025-03-06,2025-05-05,0,0,Produkt,Redaktionelt indhold / holdning,2025-05-05,1,0,0,55.96986301369863,6+ måneder
b944960f6860c84cc00a6c1d854006da,372,3000-01-01,Mand,utm_campaign=Marts25&utm_medium=Weblayer&utm_source=jp.dk,0,0,0,0,0,2025-03-21,2025-05-20,4,5,Ingen afmelding,Ingen afmelding,3000-01-01,0,1,0,60.16986301369863,6+ måneder
a7e986aac8ad1d94417c528739b94ff3,634,2025-10-13,Mand,utm_campaign=Marts25&utm_content=b&utm_medium=mail&utm_source=mail,1,1,1,1,0,2025-03-05,2025-05-04,0,0,Tid,Ikke tid,2025-11-04,0,1,0,77.32876712328768,6+ måneder
5414c1785bf852a26470a8f4a434f89e,337,2026-02-02,,utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk,0,0,0,0,0,2025-03-16,2025-05-15,0,0,Tid,Ikke tid,2026-02-15,0,1,0,35.21917808219178,0-7 dage
673614cb7aa6ff9045d6a6da7911a1eb,619,2025-05-27,Mand,utm_campaign=Marts25&utm_medium=Matrice&utm_source=jp.dk,0,1,3,2,0,2025-03-09,2025-05-08,0,0,Andet,Ingen årsag – ingen tlf kontakt,2025-05-26,0,1,1,60.942465753424656,6+ måneder
1be6d7824f5784e4439a64918e21e211,149,2025-08-13,Kvinde,utm_campaign=Basis_22&utm_content=HeaderButtonRaised&utm_medium=Matrice&utm_source=jp.dk,0,0,0,0,0,2025-03-17,2025-05-16,0,0,Andet,Administrativt,2025-08-12,0,1,1,71.07945205479452,0-7 dage
d5d12b6ce3e1654989aaee9f47de2a62,17,2025-03-21,Mand,utm_campaign=Basis_22&utm_content=HeaderButtonRaised&utm_medium=Matrice&utm_source=jp.dk,1,1,0,0,0,2025-03-11,2025-03-20,0,0,Digitalt,Tekniske problemer (kunde),2025-03-20,1,0,0,70.98082191780821,6+ måneder
51c2d08fe703a913e16ff2fa55176d2a,501,2026-02-10,Kvinde,utm_campaign=Marts25&utm_content=b&utm_medium=mail&utm_source=mail,0,1,1,1,0,2025-03-05,2025-05-04,0,0,Økonomi,Pris,2026-03-04,0,1,0,54.5972602739726,6+ måneder
5bf87d92442082440339d43d7996e983,1145,2025-11-25,Mand,utm_campaign=Marts25&utm_content=B&utm_medium=content&utm_source=jp.dk,1,1,7,6,1,2025-03-04,2025-05-03,2,2,Tid,Ikke tid,2025-12-03,0,1,0,56.21095890410959,6+ måneder
bd131313a490d54ccf4d7dd7c72f8b96,153,2025-08-12,Kvinde,utm_campaign=Basis_22&utm_content=MegaMenu&utm_medium=Matrice&utm_source=jp.dk,1,1,0,0,0,2025-03-16,2025-05-15,0,0,Tid,Ikke tid,2025-08-15,0,1,0,69.1917808219178,6+ måneder
323922e8476497ef1c3cd0573b121c58,1091,3000-01-01,Mand,utm_campaign=Marts25&utm_content=a&utm_medium=mail&utm_source=mail,0,1,11,6,4,2025-03-05,2025-05-04,1,1,Ingen afmelding,Ingen afmelding,3000-01-01,0,1,0,70.01095890410959,6+ måneder
bb23615e32aca66b3af9ec1042ddb8be,61,2025-04-02,Kvinde,utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk,0,1,0,0,0,2025-03-18,2025-05-17,0,0,Andet,kunden ønsker ikke at oplyse,2025-05-17,1,0,0,39.915068493150685,6+ måneder
